loan_id,month_index,reporting_month,anomaly_score,rule_score,ml_score,exception_flag,predicted_exception_type,top_drivers
LN0001085,3,2018-05,0.09612579281230337,0.0,0.16020965468717227,0,,
LN0002003,10,2020-02,0.0915883309622711,0.0,0.15264721827045186,0,,
LN0003603,2,2018-05,0.038239469853578754,0.0,0.06373244975596459,0,,
LN0000116,14,2023-03,0.14488447022615608,0.0,0.24147411704359348,0,,
LN0002998,18,2022-09,0.04938479424748678,0.0,0.08230799041247797,0,,
LN0002687,13,2021-08,0.01567256530030728,0.0,0.026120942167178796,0,,
LN0001836,7,2022-05,0.029522862452451847,0.0,0.04920477075408641,0,,
LN0001361,23,2021-02,0.10008500203393357,0.0,0.16680833672322262,0,,
LN0004121,4,2019-09,0.157081148030004,0.0,0.26180191338334,0,,
LN0003010,8,2023-04,0.01846066134599634,0.0,0.0307677689099939,0,,
LN0001219,8,2019-05,0.011414393167646293,0.0,0.019023988612743823,0,,
LN0000269,18,2022-09,0.06201363180470888,0.0,0.10335605300784814,0,,
LN0002056,1,2019-11,0.13265018191069905,0.0,0.22108363651783178,0,,
LN0001111,11,2021-01,0.024487657680888772,0.0,0.04081276280148129,0,,
LN0001519,1,2022-12,0.1751533759378765,0.0,0.2919222932297942,0,,
LN0003823,11,2022-08,0.009371448647547806,0.0,0.015619081079246346,0,,
LN0004822,12,2022-11,0.020777880707031737,0.0,0.03462980117838623,0,,
LN0003056,18,2019-10,0.0763533344076361,0.0,0.12725555734606017,0,,
LN0000136,4,2020-09,0.038720757570892696,0.0,0.06453459595148783,0,,
LN0003841,5,2022-10,0.011819029253000216,0.0,0.019698382088333695,0,,
LN0003930,2,2020-04,0.10355974394252104,0.0,0.17259957323753508,0,,
LN0000436,2,2018-12,0.11208310612672438,0.0,0.18680517687787399,0,,
LN0001331,1,2018-09,0.07836583199985443,0.0,0.1306097199997574,0,,
LN0000127,1,2022-01,0.08930068960716814,0.0,0.14883448267861357,0,,
LN0003062,15,2023-03,0.19418082323920008,0.0,0.3236347053986668,0,,
LN0002804,2,2022-11,0.03341402307499386,0.0,0.0556900384583231,0,,
